Times;CH1 CH 1;CH2 CH 2;CH3 CH 3;CH4 CH 4
25.017 400 ms;1;0;0;1
25.018 000 ms;1;1;0;1
25.018 400 ms;1;0;0;1
25.019 000 ms;1;1;0;1
25.019 400 ms;1;0;0;1
25.020 000 ms;1;1;0;1
25.020 400 ms;1;0;0;1
25.021 000 ms;1;1;0;1
25.021 400 ms;1;0;0;1
25.022 000 ms;1;1;0;1
25.022 400 ms;1;0;0;1
25.023 000 ms;1;1;0;1
25.026 000 ms;1;0;0;1
25.026 400 ms;1;1;0;1
25.027 000 ms;1;0;0;1
25.027 400 ms;1;1;0;1
25.028 000 ms;1;0;0;1
25.028 400 ms;1;1;0;1
25.029 000 ms;1;0;0;1
25.029 400 ms;1;1;0;1
25.030 000 ms;1;0;0;1
25.030 400 ms;1;1;0;1
25.031 000 ms;1;0;0;1
25.031 400 ms;1;1;0;1
25.032 000 ms;1;0;0;1
25.032 400 ms;1;1;0;1
25.033 000 ms;1;0;0;1
25.033 400 ms;1;1;0;1
25.036 600 ms;1;0;0;1
25.037 000 ms;1;1;0;1
25.037 600 ms;1;0;0;1
25.038 000 ms;1;1;0;1
25.038 600 ms;1;0;0;1
25.039 000 ms;1;1;0;1
25.039 600 ms;1;0;0;1
25.040 000 ms;1;1;0;1
25.040 600 ms;1;0;0;1
25.041 000 ms;1;1;0;1
25.041 600 ms;1;0;0;1
25.042 000 ms;1;1;0;1
25.042 600 ms;1;0;0;1
25.043 000 ms;1;1;0;1
25.043 600 ms;1;0;0;1
25.044 000 ms;1;1;0;1
25.047 000 ms;1;0;0;1
25.047 600 ms;1;1;0;1
25.048 000 ms;1;0;0;1
25.048 600 ms;1;1;0;1
25.049 000 ms;1;0;0;1
25.049 600 ms;1;1;0;1
25.050 000 ms;1;0;0;1
25.050 600 ms;1;1;0;1
25.051 000 ms;1;0;0;1
25.051 600 ms;1;1;0;1
25.052 000 ms;1;0;0;1
25.052 600 ms;1;1;0;1
25.053 000 ms;1;0;0;1
25.053 600 ms;1;1;0;1
25.054 000 ms;1;0;0;1
25.054 600 ms;1;1;0;1
25.057 600 ms;1;0;0;1
25.058 000 ms;1;1;0;1
25.058 600 ms;1;0;0;1
25.059 000 ms;1;1;0;1
25.059 600 ms;1;0;0;1
25.060 000 ms;1;1;0;1
25.060 600 ms;1;0;0;1
25.061 000 ms;1;1;0;1
25.061 600 ms;1;0;0;1
