Times;CH1 MOSI;CH2 CLK;CH3 CS#;CH4 MISO
5.047 230 ms;1;1;0;1
5.047 730 ms;1;0;0;1
5.048 230 ms;1;1;0;1
5.051 270 ms;1;0;0;1
5.051 770 ms;1;1;0;1
5.052 270 ms;1;0;0;1
5.052 770 ms;1;1;0;1
5.053 270 ms;1;0;0;1
5.053 770 ms;1;1;0;1
5.054 270 ms;1;0;0;1
5.054 770 ms;1;1;0;1
5.055 270 ms;1;0;0;1
5.055 770 ms;1;1;0;1
5.056 270 ms;1;0;0;1
5.056 770 ms;1;1;0;1
5.057 270 ms;1;0;0;1
5.057 770 ms;1;1;0;1
5.058 270 ms;1;0;0;1
5.058 770 ms;1;1;0;1
5.061 810 ms;1;0;0;1
5.062 310 ms;1;1;0;1
5.062 810 ms;1;0;0;1
5.063 310 ms;1;1;0;1
5.063 810 ms;1;0;0;1
5.064 310 ms;1;1;0;1
5.064 810 ms;1;0;0;1
5.065 310 ms;1;1;0;1
5.065 810 ms;1;0;0;1
5.066 310 ms;1;1;0;1
5.066 810 ms;1;0;0;1
5.067 310 ms;1;1;0;1
5.067 810 ms;1;0;0;1
5.068 310 ms;1;1;0;1
5.068 810 ms;1;0;0;1
5.069 310 ms;1;1;0;1
5.071 670 ms;1;1;1;1
25.079 490 ms;1;1;0;1
25.079 500 ms;1;1;1;1
